City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-02-08 15:38:27,-23.1203,-134.9692,77.99,74,82,12.48
1,Bredasdorp,ZA,2022-02-08 15:38:27,-34.5322,20.0403,78.12,53,31,10.36
2,Vaini,TO,2022-02-08 15:38:28,-21.2,-175.2,75.36,100,75,4.61
3,Iquitos,PE,2022-02-08 15:38:28,-3.7481,-73.2472,77.04,88,75,4.61
4,Hobart,AU,2022-02-08 15:38:28,-42.8794,147.3294,59.05,78,75,5.75
5,Kaitangata,NZ,2022-02-08 15:38:29,-46.2817,169.8464,52.03,95,32,4.0
6,Atuona,PF,2022-02-08 15:38:29,-9.8,-139.0333,77.95,77,8,17.74
7,Airai,TL,2022-02-08 15:38:29,-8.9266,125.4092,61.23,94,91,1.41
8,Busselton,AU,2022-02-08 15:38:30,-33.65,115.3333,60.08,88,6,7.85
9,Bethel,US,2022-02-08 15:38:30,41.3712,-73.414,40.82,83,75,10.36
10,Vestmannaeyjar,IS,2022-02-08 15:38:30,63.4427,-20.2734,32.99,93,75,32.21
11,Castro,BR,2022-02-08 15:38:31,-24.7911,-50.0119,78.06,55,44,3.69
12,Pisco,PE,2022-02-08 15:38:31,-13.7,-76.2167,73.45,64,0,6.91
13,Aklavik,CA,2022-02-08 15:38:31,68.2191,-135.0107,-37.37,100,74,2.04
14,Pangnirtung,CA,2022-02-08 15:38:32,66.1451,-65.7125,-9.4,64,100,5.75
15,Tazovskiy,RU,2022-02-08 15:38:32,67.4667,78.7,-1.73,85,100,16.06
16,Cape Town,ZA,2022-02-08 15:36:38,-33.9258,18.4232,80.28,49,0,13.8
17,Ponta Do Sol,PT,2022-02-08 15:38:32,32.6667,-17.1,71.13,45,5,7.81
18,Det Udom,TH,2022-02-08 15:38:33,14.906,105.0784,87.91,40,65,3.67
19,Butaritari,KI,2022-02-08 15:38:33,3.0707,172.7902,81.45,78,54,15.08
20,Barrow,US,2022-02-08 15:38:33,71.2906,-156.7887,-30.98,100,0,5.75
21,Ancud,CL,2022-02-08 15:38:34,-41.8697,-73.8203,66.22,58,79,2.28
22,Auki,SB,2022-02-08 15:38:34,-8.7676,160.7034,78.1,89,100,7.9
23,Saint-Philippe,RE,2022-02-08 15:38:34,-21.3585,55.7679,80.19,84,66,9.53
24,Tasiilaq,GL,2022-02-08 15:38:35,65.6145,-37.6368,23.16,71,100,5.39
25,Bubaque,GW,2022-02-08 15:38:35,11.2833,-15.8333,78.48,66,21,13.2
26,Ushuaia,AR,2022-02-08 15:38:14,-54.8,-68.3,49.66,71,75,23.02
27,Alta Floresta,BR,2022-02-08 15:38:35,-9.8756,-56.0861,87.62,70,40,3.44
28,Punta Arenas,CL,2022-02-08 15:37:55,-53.15,-70.9167,53.71,58,75,21.85
