City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Maragogi,BR,85.93,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
3,Port Alfred,ZA,72.27,few clouds,-33.5906,26.891,The Halyards Hotel
4,Rikitea,PF,78.64,few clouds,-23.1203,-134.9692,People ThankYou
5,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
6,Butaritari,KI,81.27,light rain,3.0707,172.7902,Isles Sunset Lodge
22,Talcahuano,CL,71.28,clear sky,-36.7167,-73.1167,departamento comodo
23,Pemba,MZ,79.5,broken clouds,-12.974,40.5178,Guesthouse Samotina
29,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
31,Lorengau,PG,80.38,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
32,Kudahuvadhoo,MV,81.46,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
37,Sechura,PE,76.39,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
38,Ugoofaaru,MV,81.57,overcast clouds,5.6667,73.0,Ungoofaaru Inn
39,Samarai,PG,81.64,overcast clouds,-10.6167,150.6667,Nuli Sapi
41,Castro,BR,77.85,few clouds,-24.7911,-50.0119,CHACARA BAILLY
44,Malanje,AO,72.79,broken clouds,-9.5402,16.341,Hotel Ginga
46,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
47,Atuona,PF,78.19,light rain,-9.8,-139.0333,Villa Enata
51,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
55,Aden,YE,76.71,clear sky,12.7794,45.0367,Sama Emirate Hotel
60,Ponta Do Sol,PT,72.72,overcast clouds,32.6667,-17.1,Hotel do Campo
62,Ixtapa,MX,70.83,clear sky,20.7,-105.2,Hotel Plaza Providencia
63,Esperance,AU,73.24,broken clouds,-33.8667,121.9,Hospitality Esperance
65,Pundaguitan,PH,79.66,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
68,Gustavo Diaz Ordaz,MX,71.94,broken clouds,26.2333,-98.5833,Chikas En El Hotel
73,Key West,US,70.0,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
75,Andros Town,BS,78.76,overcast clouds,24.7,-77.7667,Hanks place
76,Hithadhoo,MV,82.09,overcast clouds,-0.6,73.0833,Scoop Guest House
78,Avarua,CK,71.65,broken clouds,-21.2078,-159.775,Paradise Inn
81,Sitio Novo Do Tocantins,BR,80.53,broken clouds,-5.5183,-47.4611,Imperial Hotel
85,Diego De Almagro,CL,79.61,clear sky,-26.3667,-70.05,hotel luna del desierto
88,Harper,LR,81.77,scattered clouds,4.375,-7.7169,Screensaver
89,Itarema,BR,86.27,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
91,Flinders,AU,70.18,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
92,Port Hedland,AU,84.25,few clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
93,Charters Towers,AU,72.48,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
94,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
