City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Maragogi,BR,-9.0122,-35.2225,85.93,52,28,14.36,scattered clouds
1,Yellowknife,CA,62.456,-114.3525,-10.44,76,75,16.11,broken clouds
2,Barrow,US,71.2906,-156.7887,-27.38,68,0,5.75,clear sky
3,Port Alfred,ZA,-33.5906,26.891,72.27,78,17,12.26,few clouds
4,Rikitea,PF,-23.1203,-134.9692,78.64,74,18,18.01,few clouds
5,Manta,EC,-0.95,-80.7333,78.58,78,75,4.61,broken clouds
6,Butaritari,KI,3.0707,172.7902,81.27,79,32,17.25,light rain
7,Provideniya,RU,64.3833,-173.3,-19.68,92,43,3.6,scattered clouds
8,Thompson,CA,55.7435,-97.8558,-7.44,71,100,13.8,overcast clouds
9,Punta Arenas,CL,-53.15,-70.9167,55.42,57,40,31.07,scattered clouds
10,Vanavara,RU,60.34,102.2797,-9.85,99,98,2.73,overcast clouds
11,Bluff,NZ,-46.6,168.3333,58.8,88,89,14.23,overcast clouds
12,Ribeira Grande,PT,38.5167,-28.7,63.0,67,20,11.5,few clouds
13,La Ronge,CA,55.1001,-105.2842,10.65,85,100,13.8,overcast clouds
14,Ushuaia,AR,-54.8,-68.3,47.82,76,75,28.77,broken clouds
15,Kruisfontein,ZA,-34.0033,24.7314,65.91,77,70,10.92,broken clouds
16,Cherskiy,RU,68.75,161.3,-37.84,100,100,5.91,overcast clouds
17,San Patricio,US,28.017,-97.5169,68.18,50,96,3.4,overcast clouds
18,Albany,US,42.6001,-73.9662,46.09,72,95,1.01,overcast clouds
19,Falmouth,GB,50.1544,-5.0711,46.98,61,40,12.66,scattered clouds
20,Fort Nelson,CA,58.8053,-122.7002,34.83,55,100,11.77,overcast clouds
21,Katsuura,JP,35.1333,140.3,37.42,96,100,25.28,overcast clouds
22,Talcahuano,CL,-36.7167,-73.1167,71.28,49,0,13.8,clear sky
23,Pemba,MZ,-12.974,40.5178,79.5,83,75,4.61,broken clouds
24,Kapaa,US,22.0752,-159.319,66.18,97,0,9.22,clear sky
25,Kaitangata,NZ,-46.2817,169.8464,55.92,97,81,3.31,broken clouds
26,Sangar,RU,63.9242,127.4739,-39.32,100,63,2.42,broken clouds
27,Coihaique,CL,-45.5752,-72.0662,59.61,36,40,10.36,scattered clouds
28,Upernavik,GL,72.7868,-56.1549,-8.25,93,100,4.0,overcast clouds
29,Puerto Ayora,EC,-0.7393,-90.3518,82.36,85,80,7.0,broken clouds
30,Hue,VN,16.4667,107.6,69.91,94,75,3.44,broken clouds
31,Lorengau,PG,-2.0226,147.2712,80.38,81,74,6.31,broken clouds
32,Kudahuvadhoo,MV,2.6708,72.8944,81.46,75,66,10.87,broken clouds
33,Rundu,NA,-17.9333,19.7667,76.28,59,56,6.49,broken clouds
34,New Norfolk,AU,-42.7826,147.0587,58.5,54,71,2.53,broken clouds
35,Chatham,GB,51.3789,0.5279,45.1,69,100,5.01,overcast clouds
36,Kovdor,RU,67.5662,30.4758,20.46,93,99,5.26,overcast clouds
37,Sechura,PE,-5.5569,-80.8222,76.39,58,93,3.67,overcast clouds
38,Ugoofaaru,MV,5.6667,73.0,81.57,74,88,10.6,overcast clouds
39,Samarai,PG,-10.6167,150.6667,81.64,64,98,14.58,overcast clouds
40,Marawi,PH,7.9986,124.2928,66.65,97,100,0.83,light rain
41,Castro,BR,-24.7911,-50.0119,77.85,51,14,2.55,few clouds
42,Pahalgam,IN,34.0333,75.3333,14.65,70,22,12.5,few clouds
43,Shimoda,JP,34.6667,138.95,38.1,89,99,10.8,overcast clouds
44,Malanje,AO,-9.5402,16.341,72.79,62,74,7.58,broken clouds
45,Mago,RU,53.2514,140.1822,9.68,96,100,0.69,light snow
46,Georgetown,MY,5.4112,100.3354,80.53,88,20,3.44,few clouds
47,Atuona,PF,-9.8,-139.0333,78.19,76,19,18.45,light rain
48,Nizhniy Chir,RU,48.3597,43.0865,32.31,95,99,13.89,overcast clouds
